재산피해금액,화재발생일자,화재진압시간,현장소방서거리,발생장소_시도,발생장소_시군구,발생장소_읍면,읍면동구분명,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,전체인력수합계,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,산림면적,계절,물가상승배수
0,20150602,3700,24,강원,춘천,남산,백양리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,79,맑음,22,49,135,4,,화,2015,6,2,18:00,강원,백양,기,원인미상,,0.09,"51,062",여름,0.97
35930,20150603,44100,40,강원,춘천,남,가정리,논/밭두렁,담뱃불/라이터불,라이터불/성냥불,부주의,쓰레기소각,종이/목재/건초등,237,맑음,26,24,270,8,,수,2015,6,3,19:00,강원,가정,기,농산폐기물 소각,,1,"51,062",여름,0.97
5898,20150604,30847,32,강원,홍천,두촌,원동리,기타,불꽃/불티,모닥불/연탄/숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,168,맑음,0,0,,,,목,2015,6,4,10:26,강원,원동,기,원인미상,,2,"65,341",여름,0.97
3850,20150604,31917,7,강원,철원,갈말,문혜리,쓰레기소각장,담뱃불/라이터불,라이터불/성냥불,부주의,쓰레기소각,종이/목재/건초등,124,맑음,29,11,270,4,,목,2015,6,4,15:00,강원,문혜,쓰,쓰레기 소각,,1,"37,983",여름,0.97
429,20150604,22300,32,강원,강릉,왕산,송현리,미상,미상,미상,미상,미상,미상,131,구름조금,25,19,0,4,건조주의보,목,2015,6,4,18:50,동부,송현,기,원인미상,,0.4,"37,109",여름,0.97
0,20150604,2650,7,강원,고성,간성,탑동리,미상,미상,미상,미상,미상,종이/목재/건초등,89,맑음,18,65,270,4,건조주의보,목,2015,6,5,1:40,강원,탑동,기,군사훈련(야간)추정,,0.06,"18,473",여름,0.97
0,20150607,5000,41,강원,화천,화천,풍산리,입산자실화,담뱃불/라이터불,담뱃불,부주의,부주의,종이/목재/건초등,82,구름조금,24,0,135,4,,일,2015,6,7,14:30,북부,풍산,기,원인미상,,0.01,"31,778",여름,0.976
0,20150609,3800,26,강원,인제,북,용대리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,66,구름조금,29,0,225,,,화,2015,6,9,17:39,강원,용대,기,원인미상,,0.01,"41,482",여름,0.976
0,20150610,34015,27,강원,횡성,서원,유현리,군경사격장,불꽃/불티,비화,부주의,불씨/불꽃/화원방치,종이/목재/건초등,144,맑음,32,31,270,4,,수,2015,6,10,22:00,북부,유현,입,입산자실화 추정,,1.9,"44,302",여름,0.976
0,20150610,61800,27,강원,인제,북,원통리,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,165,맑음,33,0,270,4,,수,2015,6,10,19:50,강원,용대,입,입산자실화 추정,,0.25,"41,482",여름,0.976
1522,20150610,11900,12,강원,정선,북평,남평리,논/밭두렁,불꽃/불티,비화,부주의,논/임야태우기,종이/목재/건초등,113,맑음,33,16,315,4,,수,2015,6,10,18:20,강원,남평,기,농산부산물 소각,,0.4,"36,723",여름,0.976
0,20150611,13159,25,강원,홍천,화촌,야시대리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,95,구름조금,32,19,225,4,,목,2015,6,11,20:00,북부,야시대,입,입산자실화 추정,,0.5,"65,341",여름,0.976
0,20150612,11100,10,강원,인제,남,부평리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,74,구름조금,26,49,180,4,,금,2015,6,12,15:25,강원,부평,입,입산자실화 추정,,0.1,"41,482",여름,0.976
0,20150612,14500,10,강원,인제,남,부평리,기타,기타,기타,기타,기타,종이/목재/건초등,80,흐림,18,77,45,4,,금,2015,6,12,15:25,강원,부평,입,입산자실화 추정,,0.1,"41,482",여름,0.976
0,20150616,13000,25,강원,화천,간동,용호리,입산자실화,미상,미상,부주의,부주의,미상,115,구름조금,30,0,270,4,,화,2015,6,16,15:10,강원,용호,입,입산자실화 추정,,0.02,"31,778",여름,0.976
0,20150617,13700,43,강원,춘천,북산,조교리,입산자실화,불꽃/불티,불꽃/불티,부주의,부주의,종이/목재/건초등,51,맑음,30,43,180,4,,수,2015,6,17,17:30,강원,조교,입,입산자실화 추정,,0.05,"51,062",여름,0.976
0,20150622,4400,13,강원,홍천,화촌,내삼포리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,55,맑음,31,30,270,4,,월,2015,6,22,17:30,북부,내삼포,기,낙뢰,,0.1,"65,341",여름,0.976
0,20160603,10624,19,강원,인제,남,,입산자실화,미상,미상,미상,미상,종이/목재/건초등,138,맑음,26,27,180,8,,금,2016,6,3,12:40,강원,어론,입,기타(직접입력),입산자 실화추정,0.1,"41,482",여름,0.976
0,20160604,14900,23,강원,화천,하남,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,28,맑음,0,0,,,,토,2016,6,4,13:00,강원,거례,입,기타(직접입력),입산자 실화추정,0.01,"31,778",여름,0.976
0,20160606,5642,25,강원,강릉,연곡,,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,89,맑음,21,67,45,4,,월,2016,6,6,15:30,강원,유등,기,농산폐기물소각,,0.1,"37,109",여름,0.976
0,20160606,22734,10,강원,인제,남,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,51,구름많음,27,32,225,4,,월,2016,6,6,17:00,북부,부평,입,기타(직접입력),입산자 실화추정,0.01,"41,482",여름,0.976
0,20160610,10509,30,강원,홍천,내촌,,쓰레기소각장,불꽃/불티,쓰레기/논밭두렁,부주의,쓰레기소각,종이/목재/건초등,72,맑음,32,12,270,4,,금,2016,6,10,14:35,강원,도관,쓰,쓰레기소각,,0.1,"65,341",여름,0.976
0,20160610,4327,32,강원,정선,신동,,논/밭두렁,불꽃/불티,쓰레기/논밭두렁,부주의,논/임야태우기,종이/목재/건초등,38,맑음,30,29,315,4,,금,2016,6,10,14:30,강원,덕천,기,농산폐기물소각,,0.2,"36,723",여름,0.976
0,20160617,4336,16,강원,춘천,서,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,59,맑음,28,49,180,4,,금,2016,6,17,14:40,강원,덕두원,입,기타(직접입력),입산자 실화추정,0.01,"51,062",여름,0.976
0,20160620,12213,10,강원,원주,흥업,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,58,맑음,29,36,270,4,,월,2016,6,20,17:21,강원,대안,입,등산객실화,,0.05,"52,252",여름,0.976
4332,20160629,3357,36,강원,횡성,서원,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,55,맑음,30,52,225,4,,수,2016,6,29,16:30,강원,석화,기,기타(직접입력),원인미상,0.3,"44,302",여름,0.976
0,20170601,22852,24,강원,원주,문막,포진리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,66,구름조금,20,20,315,4,,목,2017,6,1,3:05,강원,포진,담,담뱃불실화,,0.3,"52,252",여름,0.976
0,20170602,4306,30,강원,강릉,옥계,북동리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,146,구름조금,19,57,90,8,,금,2017,6,2,16:00,강원,북동,입,기타(직접입력),입산자 실화,0.06,"37,109",여름,0.976
0,20170603,62107,18,강원,춘천,동,상걸리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,113,맑음,15,47,0,4,,토,2017,6,3,17:00,북부,상견,기,기타(직접입력),조사중,0.2,"51,062",여름,0.976
